Date,Open,High,Low,Close,Adj Close,Volume
2025-02-07,1.0386,1.0406,1.0325,1.0386,1.0386,-
2025-02-06,1.0401,1.0405,1.0355,1.0401,1.0401,-
2025-02-05,1.0373,1.0436,1.0370,1.0373,1.0373,-
2025-02-04,1.0327,1.0387,1.0277,1.0327,1.0327,-
2025-02-03,1.0248,1.0327,1.0213,1.0248,1.0248,-
2025-01-31,1.0397,1.0412,1.0362,1.0397,1.0397,-
2025-01-30,1.0425,1.0466,1.0391,1.0425,1.0425,-
2025-01-29,1.0429,1.0445,1.0383,1.0429,1.0429,-
2025-01-28,1.0445,1.0456,1.0415,1.0445,1.0445,-
2025-01-27,1.0468,1.0534,1.0454,1.0468,1.0468,-
2025-01-24,1.0416,1.0519,1.0413,1.0416,1.0416,-
2025-01-23,1.0410,1.0425,1.0386,1.0410,1.0410,-
